rank|id|title|original_language|overview|poster|backdrop|popularity|vote_average|vote_count|created_date
1|238|The Godfather|en|Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.|https://image.tmdb.org/t/p/original/3bhkrj58Vtu7enYsRolD1fZdja1.jpg|https://image.tmdb.org/t/p/original/tmU7GeKVybMWFButWEGl2M4GeiP.jpg|108.893|8.7|18708|2023-10-05 23:17:57
2|278|The Shawshank Redemption|en|Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.|https://image.tmdb.org/t/p/original/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg|https://image.tmdb.org/t/p/original/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg|98.625|8.7|24686|2023-10-05 23:17:57
3|240|The Godfather Part II|en|In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.|https://image.tmdb.org/t/p/original/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg|https://image.tmdb.org/t/p/original/kGzFbGhp99zva6oZODW5atUtnqi.jpg|81.745|8.6|11311|2023-10-05 23:17:57
4|424|Schindler's List|en|The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.|https://image.tmdb.org/t/p/original/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg|https://image.tmdb.org/t/p/original/zb6fM1CX41D9rF9hdgclu0peUmy.jpg|58.783|8.6|14619|2023-10-05 23:17:57
5|19404|Dilwale Dulhania Le Jayenge|hi|Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.|https://image.tmdb.org/t/p/original/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg|https://image.tmdb.org/t/p/original/vI3aUGTuRRdM7J78KIdW98LdxE5.jpg|28.976|8.6|4257|2023-10-05 23:17:57
6|389|12 Angry Men|en|The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.|https://image.tmdb.org/t/p/original/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg|https://image.tmdb.org/t/p/original/qqHQsStV6exghCM7zbObuYBiYxw.jpg|37.125|8.5|7676|2023-10-05 23:17:57
7|129|Spirited Away|ja|A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.|https://image.tmdb.org/t/p/original/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg|https://image.tmdb.org/t/p/original/Ab8mkHmkYADjU7wQiOkia9BzGvS.jpg|71.986|8.5|14929|2023-10-05 23:17:57
8|496243|Parasite|ko|All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.|https://image.tmdb.org/t/p/original/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg|https://image.tmdb.org/t/p/original/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg|75.43|8.5|16450|2023-10-05 23:17:57
9|372058|Your Name.|ja|High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.|https://image.tmdb.org/t/p/original/q719jXXEzOoYaps6babgKnONONX.jpg|https://image.tmdb.org/t/p/original/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg|73.957|8.5|10321|2023-10-05 23:17:57
10|155|The Dark Knight|en|Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.|https://image.tmdb.org/t/p/original/qJ2tW6WMUDux911r6m7haRef0WH.jpg|https://image.tmdb.org/t/p/original/dqK9Hag1054tghRQSqLSfrkvQnA.jpg|110.07|8.5|30657|2023-10-05 23:17:57
11|497|The Green Mile|en|A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.|https://image.tmdb.org/t/p/original/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg|https://image.tmdb.org/t/p/original/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg|63.732|8.5|15965|2023-10-05 23:17:57
12|680|Pulp Fiction|en|A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.|https://image.tmdb.org/t/p/original/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg|https://image.tmdb.org/t/p/original/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg|96.642|8.5|25929|2023-10-05 23:17:57
13|13|Forrest Gump|en|A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.|https://image.tmdb.org/t/p/original/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg|https://image.tmdb.org/t/p/original/qdIMHd4sEfJSckfVJfKQvisL02a.jpg|68.638|8.5|25444|2023-10-05 23:17:57
14|122|The Lord of the Rings: The Return of the King|en|Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.|https://image.tmdb.org/t/p/original/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg|https://image.tmdb.org/t/p/original/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg|79.668|8.5|22366|2023-10-05 23:17:57
15|429|The Good, the Bad and the Ugly|it|While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.|https://image.tmdb.org/t/p/original/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg|https://image.tmdb.org/t/p/original/eoCSp75lxatmIa6aGqfnzwtbttd.jpg|63.148|8.5|7763|2023-10-05 23:17:57
16|769|GoodFellas|en|The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.|https://image.tmdb.org/t/p/original/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg|https://image.tmdb.org/t/p/original/sw7mordbZxgITU877yTpZCud90M.jpg|49.333|8.5|11746|2023-10-05 23:17:57
17|12477|Grave of the Fireflies|ja|In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.|https://image.tmdb.org/t/p/original/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg|https://image.tmdb.org/t/p/original/gwj4R8Uy1GwejKqfofREKI9Jh7L.jpg|0.6|8.5|4868|2023-10-05 23:17:57
18|637|Life Is Beautiful|it|A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.|https://image.tmdb.org/t/p/original/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg|https://image.tmdb.org/t/p/original/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg|43.085|8.5|12237|2023-10-05 23:17:57
19|346|Seven Samurai|ja|A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.|https://image.tmdb.org/t/p/original/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg|https://image.tmdb.org/t/p/original/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg|32.304|8.5|3236|2023-10-05 23:17:57
20|11216|Cinema Paradiso|it|A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.|https://image.tmdb.org/t/p/original/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg|https://image.tmdb.org/t/p/original/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg|30.847|8.5|3962|2023-10-05 23:17:57
21|696374|Gabriel's Inferno|en|An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.|https://image.tmdb.org/t/p/original/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg|https://image.tmdb.org/t/p/original/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg|11.844|8.4|2365|2023-10-05 23:17:57
22|667257|Impossible Things|es|Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor|https://image.tmdb.org/t/p/original/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg|https://image.tmdb.org/t/p/original/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg|10.497|8.4|359|2023-10-05 23:17:57
23|550|Fight Club|en|A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground fight clubs forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.|https://image.tmdb.org/t/p/original/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg|https://image.tmdb.org/t/p/original/hZkgoQYus5vegHoetLkCJzb17zJ.jpg|85.79|8.4|27270|2023-10-05 23:17:57
24|772071|Cuando Sea Joven|es|70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as Maria to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.|https://image.tmdb.org/t/p/original/6gIJuFHh5Lj4dNaPG3TzIMl7L68.jpg|https://image.tmdb.org/t/p/original/ejnlCzBd5pOGAYCpxC93NXSrdrz.jpg|10.198|8.4|256|2023-10-05 23:17:57
25|539|Psycho|en|When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.|https://image.tmdb.org/t/p/original/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg|https://image.tmdb.org/t/p/original/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg|45.878|8.4|9287|2023-10-05 23:17:57
26|569094|Spider-Man: Across the Spider-Verse|en|After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.|https://image.tmdb.org/t/p/original/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg|https://image.tmdb.org/t/p/original/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg|480.62|8.4|4452|2023-10-05 23:17:57
27|704264|Primal: Tales of Savagery|en|Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.|https://image.tmdb.org/t/p/original/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg|https://image.tmdb.org/t/p/original/uBZQOYZLIU9dBmd62fdzBAoropu.jpg|12.93|8.4|287|2023-10-05 23:17:57
28|598|City of God|pt|In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.|https://image.tmdb.org/t/p/original/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg|https://image.tmdb.org/t/p/original/5p3aTxtUtZHCHwYsuycutmxIhND.jpg|39.21|8.4|6713|2023-10-05 23:17:57
29|311|Once Upon a Time in America|en|A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.|https://image.tmdb.org/t/p/original/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg|https://image.tmdb.org/t/p/original/uPYa165sraN2c8gZBM9C47g3JoU.jpg|50.511|8.4|4870|2023-10-05 23:17:57
30|724089|Gabriel's Inferno: Part II|en|Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?|https://image.tmdb.org/t/p/original/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg|https://image.tmdb.org/t/p/original/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg|11.009|8.4|1484|2023-10-05 23:17:57
31|620249|The Legend of Hei|zh|When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.|https://image.tmdb.org/t/p/original/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg|https://image.tmdb.org/t/p/original/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg|22.484|8.4|304|2023-10-05 23:17:57
32|372754|Dou kyu sei – Classmates|ja|Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.|https://image.tmdb.org/t/p/original/cIfRCA5wEvj9tApca4UDUagQEiM.jpg|https://image.tmdb.org/t/p/original/3RMLbSEXOn1CzLoNT7xFeLfdxhq.jpg|13.635|8.4|323|2023-10-05 23:17:57
33|510|One Flew Over the Cuckoo's Nest|en|A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.|https://image.tmdb.org/t/p/original/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg|https://image.tmdb.org/t/p/original/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg|52.489|8.4|9661|2023-10-05 23:17:57
34|157336|Interstellar|en|The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.|https://image.tmdb.org/t/p/original/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg|https://image.tmdb.org/t/p/original/xJHokMbljvjADYdit5fK5VQsXEG.jpg|116.816|8.4|32606|2023-10-05 23:17:57
35|568332|Taylor Swift: Reputation Stadium Tour|en|Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.|https://image.tmdb.org/t/p/original/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg|https://image.tmdb.org/t/p/original/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg|15.984|8.4|303|2023-10-05 23:17:57
36|14537|Harakiri|ja|Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.|https://image.tmdb.org/t/p/original/w7pWcLaYQkbtRUn99K6ome0DblL.jpg|https://image.tmdb.org/t/p/original/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg|22.241|8.4|840|2023-10-05 23:17:57
37|761053|Gabriel's Inferno: Part III|en|The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.|https://image.tmdb.org/t/p/original/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg|https://image.tmdb.org/t/p/original/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg|20.657|8.4|1026|2023-10-05 23:17:57
38|324857|Spider-Man: Into the Spider-Verse|en|Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson Kingpin Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.|https://image.tmdb.org/t/p/original/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg|https://image.tmdb.org/t/p/original/qGQf2OHIkoh89K8XeKQzhxczf96.jpg|84.113|8.4|14040|2023-10-05 23:17:57
39|378064|A Silent Voice: The Movie|ja|Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?|https://image.tmdb.org/t/p/original/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg|https://image.tmdb.org/t/p/original/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg|40.417|8.4|3569|2023-10-05 23:17:57
40|4935|Howl's Moving Castle|ja|Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.|https://image.tmdb.org/t/p/original/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg|https://image.tmdb.org/t/p/original/nv5wwZou159v5OC61i4ElR7OqyY.jpg|73.943|8.4|8734|2023-10-05 23:17:57
41|120|The Lord of the Rings: The Fellowship of the Ring|en|Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.|https://image.tmdb.org/t/p/original/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg|https://image.tmdb.org/t/p/original/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg|103.676|8.4|23349|2023-10-05 23:17:57
42|995133|The Boy, the Mole, the Fox and the Horse|en|The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.|https://image.tmdb.org/t/p/original/oQRgyQCzcyZvE6w5heM9ktVY0LT.jpg|https://image.tmdb.org/t/p/original/wxaBkuqVIgImjRHEMJoxL9Lq6i8.jpg|20.557|8.4|398|2023-10-05 23:17:57
43|40096|A Dog's Will|pt|The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.|https://image.tmdb.org/t/p/original/m8eFedsS7vQCZCS8WGp5n1bVD0q.jpg|https://image.tmdb.org/t/p/original/xw1gA0lm0AEhGLoR6sE8IYCQAV4.jpg|13.097|8.4|1011|2023-10-05 23:17:57
44|1891|The Empire Strikes Back|en|The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.|https://image.tmdb.org/t/p/original/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg|https://image.tmdb.org/t/p/original/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg|33.136|8.4|15791|2023-10-05 23:17:57
45|121|The Lord of the Rings: The Two Towers|en|Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.|https://image.tmdb.org/t/p/original/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg|https://image.tmdb.org/t/p/original/zcc0My3G4SYR72VuEYHNcUWkkW0.jpg|78.166|8.4|20296|2023-10-05 23:17:57
46|423|The Pianist|en|The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.|https://image.tmdb.org/t/p/original/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg|https://image.tmdb.org/t/p/original/dVr11o9or7AS8AMPfwjSpEU83iU.jpg|39.881|8.4|8369|2023-10-05 23:17:57
47|244786|Whiplash|en|Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.|https://image.tmdb.org/t/p/original/7fn624j5lj3xTme2SgiLCeuedmO.jpg|https://image.tmdb.org/t/p/original/vNXGrknx4GjWLgmuNTftWZluIUl.jpg|71.636|8.4|13904|2023-10-05 23:17:57
48|255709|Hope|ko|After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.|https://image.tmdb.org/t/p/original/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg|https://image.tmdb.org/t/p/original/l5K9elugftlcyIHHm4nylvsn26X.jpg|16.906|8.4|577|2023-10-05 23:17:57
