rank|id|title|original_language|overview|poster|backdrop|popularity|vote_average|vote_count|created_date
49|807|Se7en|en|Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.|https://image.tmdb.org/t/p/original/6yoghtyTpznpBik8EngEmJskVUO.jpg|https://image.tmdb.org/t/p/original/hWrxRwnnisPE4LJdER3FmdeM39b.jpg|58.117|8.4|19423|2023-10-05 23:17:57
50|27205|Inception|en|Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: inception, the implantation of another person's idea into a target's subconscious.|https://image.tmdb.org/t/p/original/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg|https://image.tmdb.org/t/p/original/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg|86.51|8.4|34529|2023-10-05 23:17:57
51|92321|Hotarubi no Mori e|ja|One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...|https://image.tmdb.org/t/p/original/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg|https://image.tmdb.org/t/p/original/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg|0.6|8.4|993|2023-10-05 23:17:57
52|567|Rear Window|en|A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.|https://image.tmdb.org/t/p/original/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg|https://image.tmdb.org/t/p/original/8aEe01VfGtYG2dFy9V5MqyyNPlh.jpg|24.643|8.4|5900|2023-10-05 23:17:57
53|73|American History X|en|Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.|https://image.tmdb.org/t/p/original/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg|https://image.tmdb.org/t/p/original/9LSsSPbP715XT9B7acIZzantPyX.jpg|31.766|8.4|10743|2023-10-05 23:17:57
54|820067|The Quintessential Quintuplets Movie|ja|When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?|https://image.tmdb.org/t/p/original/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg|https://image.tmdb.org/t/p/original/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg|56.656|8.3|328|2023-10-05 23:17:57
55|652837|Josee, the Tiger and the Fish|ja|With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.|https://image.tmdb.org/t/p/original/xAbSLi61npWyVs5M0yxin3dKcGO.jpg|https://image.tmdb.org/t/p/original/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg|24.304|8.3|367|2023-10-05 23:17:57
56|274|The Silence of the Lambs|en|Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.|https://image.tmdb.org/t/p/original/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg|https://image.tmdb.org/t/p/original/mfwq2nMBzArzQ7Y9RKE8SKeeTkg.jpg|14.853|8.3|15026|2023-10-05 23:17:57
57|18491|Neon Genesis Evangelion: The End of Evangelion|ja|The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.|https://image.tmdb.org/t/p/original/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg|https://image.tmdb.org/t/p/original/AfyuI3glMCBDFmNPj9PY6DwbgGp.jpg|48.297|8.3|1380|2023-10-05 23:17:57
58|599|Sunset Boulevard|en|A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.|https://image.tmdb.org/t/p/original/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg|https://image.tmdb.org/t/p/original/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg|18.259|8.3|2324|2023-10-05 23:17:57
59|128|Princess Mononoke|ja|Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.|https://image.tmdb.org/t/p/original/cMYCDADoLKLbB83g4WnJegaZimC.jpg|https://image.tmdb.org/t/p/original/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg|43.291|8.3|7234|2023-10-05 23:17:57
60|3782|Ikiru|ja|Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.|https://image.tmdb.org/t/p/original/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg|https://image.tmdb.org/t/p/original/5qtOVAcBFogwktkseoZSfZVq6bx.jpg|13.922|8.3|983|2023-10-05 23:17:57
61|914|The Great Dictator|en|Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.|https://image.tmdb.org/t/p/original/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg|https://image.tmdb.org/t/p/original/8AMKZODrCvWe2sCy9Ts7VsLcKd6.jpg|17.877|8.3|3043|2023-10-05 23:17:57
62|533514|Violet Evergarden: The Movie|ja|As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.|https://image.tmdb.org/t/p/original/A9R6bukzzRmOzxvDQsXdQpeNm8l.jpg|https://image.tmdb.org/t/p/original/aLqtWLA6NQHBwQHvHDq5z4EKUm0.jpg|30.977|8.3|346|2023-10-05 23:17:57
63|12493|High and Low|ja|A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.|https://image.tmdb.org/t/p/original/tgNjemQPG96uIezpiUiXFcer5ga.jpg|https://image.tmdb.org/t/p/original/A62quSOB8otoZvGiLvMVZ9G4BiO.jpg|11.641|8.3|750|2023-10-05 23:17:57
64|644479|Dedicated to my ex|es|The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.|https://image.tmdb.org/t/p/original/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg|https://image.tmdb.org/t/p/original/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg|7.617|8.3|487|2023-10-05 23:17:57
65|101|Léon: The Professional|en|Léon, the top hit man in New York, has earned a rep as an effective cleaner. But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.|https://image.tmdb.org/t/p/original/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg|https://image.tmdb.org/t/p/original/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg|44.547|8.3|13677|2023-10-05 23:17:57
66|15804|A Brighter Summer Day|zh|A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.|https://image.tmdb.org/t/p/original/3l8fOAwiN3N5n3hHnZ51eog7Zu2.jpg|https://image.tmdb.org/t/p/original/qMMaTIUTxCcRRrwgNsna8EUAd1z.jpg|13.728|8.3|271|2023-10-05 23:17:57
67|105|Back to the Future|en|Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.|https://image.tmdb.org/t/p/original/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg|https://image.tmdb.org/t/p/original/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg|67.037|8.3|18468|2023-10-05 23:17:57
68|207|Dead Poets Society|en|At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.|https://image.tmdb.org/t/p/original/azrIJJfdEL3UQhBmWhFe2b7bSCX.jpg|https://image.tmdb.org/t/p/original/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg|40.807|8.3|10324|2023-10-05 23:17:57
69|901|City Lights|en|In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.|https://image.tmdb.org/t/p/original/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg|https://image.tmdb.org/t/p/original/n0Cju2Eu3VyrUFl32thblHFWznA.jpg|17.779|8.3|1962|2023-10-05 23:17:57
70|29259|Le Trou|fr|Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.|https://image.tmdb.org/t/p/original/nsVjgNxWTkaFCMuBLhiLHkcoTnt.jpg|https://image.tmdb.org/t/p/original/f72GEQF2lKsdmEULSI9bWCbQylH.jpg|14.694|8.3|408|2023-10-05 23:17:57
71|25237|Come and See|ru|The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.|https://image.tmdb.org/t/p/original/qNbMsKVzigERgJUbwf8pKyZogpb.jpg|https://image.tmdb.org/t/p/original/6C1U0cKK5zGjyUSwNc5GLSVCr7Y.jpg|67.222|8.3|1213|2023-10-05 23:17:57
72|3082|Modern Times|en|The Tramp struggles to live in modern industrial society with the help of a young homeless woman.|https://image.tmdb.org/t/p/original/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg|https://image.tmdb.org/t/p/original/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg|18.192|8.3|3399|2023-10-05 23:17:57
73|630566|Clouds|en|Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.|https://image.tmdb.org/t/p/original/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg|https://image.tmdb.org/t/p/original/nbAbAk80aWCpOS5kOPYJ1L9kE1R.jpg|18.349|8.3|956|2023-10-05 23:17:57
74|335|Once Upon a Time in the West|it|As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.|https://image.tmdb.org/t/p/original/qbYgqOczabWNn2XKwgMtVrntD6P.jpg|https://image.tmdb.org/t/p/original/vmryZ1Bkko8P2utNaJeO2Yo2Bx4.jpg|41.363|8.3|3927|2023-10-05 23:17:57
75|10494|Perfect Blue|ja|Pop singer Mima Kirigow looks forward to a bright new career when she quits her chart-topping trio to become an actress. When she lands a role in a sexually charged murder mystery, Mima’s life begins to fall apart.|https://image.tmdb.org/t/p/original/bee6ZQVaSAUhlBinsP9In8x8vO1.jpg|https://image.tmdb.org/t/p/original/A1Larywbw79kZQqkvCEiPHJqdLN.jpg|27.296|8.3|2180|2023-10-05 23:17:57
76|447362|Life in a Year|en|A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.|https://image.tmdb.org/t/p/original/bP7u19opmHXYeTCUwGjlLldmUMc.jpg|https://image.tmdb.org/t/p/original/88J6waYVTta8Qz3iX3qUeWNA5d5.jpg|32.959|8.3|1557|2023-10-05 23:17:57
77|283566|Evangelion: 3.0+1.0 Thrice Upon a Time|ja|In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.|https://image.tmdb.org/t/p/original/md5wZRRj8biHrGtyitgBZo7674t.jpg|https://image.tmdb.org/t/p/original/1EAxNqdkVnp48a7NUuNBHGflowM.jpg|29.644|8.3|694|2023-10-05 23:17:57
78|527641|Five Feet Apart|en|Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.|https://image.tmdb.org/t/p/original/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg|https://image.tmdb.org/t/p/original/27ZkYMWynuK2qiDP6awc3MsCaOs.jpg|43.317|8.3|5259|2023-10-05 23:17:57
79|28|Apocalypse Now|en|At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, does not exist, nor will it ever exist. His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.|https://image.tmdb.org/t/p/original/eQVH91OSxh5I2uRfJuw4owd2Fq9.jpg|https://image.tmdb.org/t/p/original/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg|32.427|8.3|7492|2023-10-05 23:17:57
80|16672|Woman in the Dunes|ja|An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.|https://image.tmdb.org/t/p/original/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg|https://image.tmdb.org/t/p/original/oOM2JzhVBjWyZFHW2iBQQ8A3znY.jpg|14.683|8.3|360|2023-10-05 23:17:57
81|632632|Given|ja|The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.|https://image.tmdb.org/t/p/original/3trPz7muDOv4AHjDZiD3MLGls2Q.jpg|https://image.tmdb.org/t/p/original/u1wHUA0R48FH4WV3sGqjwx3aNZm.jpg|15.01|8.3|364|2023-10-05 23:17:57
82|77338|The Intouchables|fr|A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.|https://image.tmdb.org/t/p/original/323BP0itpxTsO0skTwdnVmf7YC9.jpg|https://image.tmdb.org/t/p/original/bGksau9GGu0uJ8DJQ8DYc9JW5LM.jpg|43.346|8.3|16096|2023-10-05 23:17:57
83|975|Paths of Glory|en|A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.|https://image.tmdb.org/t/p/original/l2IY0gOHHmCWM90LjteFssxIV1G.jpg|https://image.tmdb.org/t/p/original/3G9YiVm0bQB1XyyyiDzfeNCiFLw.jpg|24.865|8.3|2575|2023-10-05 23:17:57
84|637920|Miracle in Cell No. 7|tr|Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.|https://image.tmdb.org/t/p/original/bOth4QmNyEkalwahfPCfiXjNh1r.jpg|https://image.tmdb.org/t/p/original/4YbHir4Ka4kG7WOdh0anXv1iT8s.jpg|41.03|8.3|4218|2023-10-05 23:17:57
85|670|Oldboy|ko|With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.|https://image.tmdb.org/t/p/original/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg|https://image.tmdb.org/t/p/original/sdwjQEM869JFwMytTmvr6ggvaUl.jpg|49.055|8.3|7798|2023-10-05 23:17:57
86|20334|The Shop Around the Corner|en|Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.|https://image.tmdb.org/t/p/original/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg|https://image.tmdb.org/t/p/original/wqgZSvgoctaadgwUdPYVsksivxn.jpg|19.82|8.3|631|2023-10-05 23:17:57
87|795607|Green Snake|zh|While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.|https://image.tmdb.org/t/p/original/1zs5zsQDP5KuWwxIg9EUULLFEV.jpg|https://image.tmdb.org/t/p/original/5QWHHjwIPoaJYHNVL0D00bxDUUC.jpg|17.995|8.3|267|2023-10-05 23:17:57
88|315162|Puss in Boots: The Last Wish|en|Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.|https://image.tmdb.org/t/p/original/kuf6dutpsT0vSVehic3EZIqkOBt.jpg|https://image.tmdb.org/t/p/original/b1Y8SUb12gPHCSSSNlbX4nB3IKy.jpg|234.078|8.3|6417|2023-10-05 23:17:57
89|897429|All Too Well: The Short Film|en|Short film featuring the extended version of the song “All Too Well” by Taylor Swift. A troubled couple's romance blossoms before it eventually falls apart.|https://image.tmdb.org/t/p/original/zfgHyodGNdtBxO8R7d0qmR2JSEz.jpg|https://image.tmdb.org/t/p/original/4WQazr0JlLNgEybdeL4jTxbUrRt.jpg|5.491|8.3|220|2023-10-05 23:17:57
90|10376|The Legend of 1900|it|The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.|https://image.tmdb.org/t/p/original/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg|https://image.tmdb.org/t/p/original/6rmb35g7XoMCMQtnbH0rUecFZlV.jpg|19.325|8.3|2086|2023-10-05 23:17:57
91|299534|Avengers: Endgame|en|After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.|https://image.tmdb.org/t/p/original/or06FN3Dka5tukK1e9sl16pB3iy.jpg|https://image.tmdb.org/t/p/original/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg|93.294|8.3|23876|2023-10-05 23:17:57
92|618344|Justice League Dark: Apokolips War|en|Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.|https://image.tmdb.org/t/p/original/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg|https://image.tmdb.org/t/p/original/sQkRiQo3nLrQYMXZodDjNUJKHZV.jpg|28.739|8.3|1356|2023-10-05 23:17:57
93|635302|Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train|ja|Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!|https://image.tmdb.org/t/p/original/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg|https://image.tmdb.org/t/p/original/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg|85.98|8.3|3418|2023-10-05 23:17:57
94|361743|Top Gun: Maverick|en|After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.|https://image.tmdb.org/t/p/original/62HCnUTziyWcpDaBO2i1DX17ljH.jpg|https://image.tmdb.org/t/p/original/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg|143.885|8.3|7570|2023-10-05 23:17:57
95|1585|It's a Wonderful Life|en|A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.|https://image.tmdb.org/t/p/original/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg|https://image.tmdb.org/t/p/original/ch3lDc4xQ9MpsNEpnRhvR8PIxxK.jpg|40.468|8.3|3864|2023-10-05 23:17:57
96|872585|Oppenheimer|en|The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.|https://image.tmdb.org/t/p/original/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg|https://image.tmdb.org/t/p/original/fm6KqXpk3M2HVveHwCrBSSBaO0V.jpg|364.251|8.3|3796|2023-10-05 23:17:57
97|504253|I Want to Eat Your Pancreas|ja|After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.|https://image.tmdb.org/t/p/original/qpV8kvRfAntV7D4aOOsLIz7OdPc.jpg|https://image.tmdb.org/t/p/original/YLyORLsYIjC0d1TFBSpJKk7piP.jpg|26.747|8.3|1333|2023-10-05 23:17:57
98|8587|The Lion King|en|A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?|https://image.tmdb.org/t/p/original/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg|https://image.tmdb.org/t/p/original/yDaMQbBfyGzGWKxUsPMxzWVuJlY.jpg|99.489|8.3|17012|2023-10-05 23:17:57
99|299536|Avengers: Infinity War|en|As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.|https://image.tmdb.org/t/p/original/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg|https://image.tmdb.org/t/p/original/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg|147.221|8.3|27732|2023-10-05 23:17:57
100|537061|Steven Universe: The Movie|en|Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.|https://image.tmdb.org/t/p/original/8mRgpubxHqnqvENK4Bei30xMDvy.jpg|https://image.tmdb.org/t/p/original/dW7F0nNVbjFesNKdw950GJ07T4p.jpg|19.836|8.3|772|2023-10-05 23:17:57
